net,length_um
u_sync_wr2rd.gray_in\[2\],14.3
u_mem._0390_,14.28
u_mem._0403_,14.26
u_mem.mem\[3\]\[5\],14.18
u_mem.mem\[3\]\[0\],14.14
u_mem._0364_,14.12
u_mem.mem\[3\]\[1\],14.04
u_mem._0419_,14.005
u_mem._0395_,14
u_mem.mem\[12\]\[0\],14
u_mem.mem\[3\]\[2\],14
u_mem._0418_,13.84
u_mem._0444_,13.78
u_mem.mem\[1\]\[6\],13.76
u_write._19_,13.7
u_mem.mem\[6\]\[6\],13.68
u_mem.mem\[15\]\[2\],13.62
u_mem.mem\[5\]\[3\],13.52
u_mem._0415_,13.505
u_mem.mem\[10\]\[7\],13.5
u_mem._0169_,13.46
u_mem._0206_,13.42
u_mem._0239_,13.32
u_mem._0309_,13.32
u_write._17_,13.3
u_mem.mem\[11\]\[5\],13.28
u_mem.mem\[1\]\[2\],13.24
u_mem._0409_,13.185
u_read._31_,13.12
u_mem._0168_,13.08
u_mem.mem\[14\]\[0\],13.08
u_mem.mem\[8\]\[0\],12.9
u_mem._0330_,12.86
u_mem._0411_,12.86
u_mem.mem\[5\]\[6\],12.84
u_mem.mem\[4\]\[5\],12.8
u_read._30_,12.795
u_sync_wr2rd._07_,12.745
u_mem._0280_,12.74
u_mem.mem\[12\]\[2\],12.66
u_mem._0439_,12.62
u_sync_wr2rd._05_,12.545
u_mem._0402_,12.5
u_mem.mem\[0\]\[6\],12.32
u_sync_wr2rd.gray_in\[3\],12.26
u_mem.mem\[6\]\[1\],12.2
u_mem.mem\[0\]\[2\],12.18
u_mem._0421_,12.16
u_mem.dout\[1\],11.88
u_mem._0401_,11.78
u_mem._0220_,11.74
u_mem._0369_,11.7
rst,11.61
u_mem._0461_,11.58
u_mem._0446_,11.36
u_mem._0209_,11.34
u_mem.mem\[6\]\[4\],11.34
u_write._18_,11.32
u_sync_wr2rd._17_,11.22
u_mem.dout\[0\],11.2
u_mem.mem\[0\]\[1\],11.2
u_mem._0104_,11.165
u_mem.mem\[7\]\[4\],11.14
u_mem._0154_,11.12
u_mem._0435_,11.1
u_mem.mem\[14\]\[6\],11.1
u_mem.mem\[15\]\[4\],11.1
u_mem._0299_,11.08
u_mem.mem\[10\]\[0\],11.08
u_mem.mem\[3\]\[6\],11.08
u_mem.mem\[2\]\[2\],11.06
u_read._09_,11.06
u_mem._0355_,11.02
u_mem.mem\[14\]\[5\],11.02
u_mem.mem\[5\]\[5\],11
u_read.wr_gray_sync2\[1\],10.98
u_mem.mem\[9\]\[4\],10.94
u_mem.mem\[15\]\[1\],10.86
u_mem.mem\[7\]\[5\],10.86
u_mem.mem\[8\]\[2\],10.8
u_mem.mem\[2\]\[1\],10.74
u_mem.mem\[2\]\[7\],10.74
rd_en,10.69
u_mem._0281_,10.64
u_mem._0097_,10.605
u_mem._0182_,10.56
u_mem._0164_,10.54
u_mem._0286_,10.54
u_mem.mem\[2\]\[6\],10.46
u_mem._0061_,10.445
u_mem._0194_,10.44
u_mem._0436_,10.44
u_mem._0113_,10.425
u_mem._0356_,10.405
u_mem.mem\[11\]\[4\],10.4
u_read._34_,10.38
u_sync_wr2rd.gray_in\[1\],10.38
u_write._01_,10.335
u_mem._0262_,10.32
u_mem._0301_,10.28
u_mem.mem\[15\]\[7\],10.28
u_mem.mem\[8\]\[4\],10.28
u_mem._0174_,10.26
u_mem.mem\[6\]\[5\],10.22
u_mem.mem\[11\]\[3\],10.18
u_mem.mem\[0\]\[4\],10.16
u_mem.mem\[9\]\[5\],10.16
u_mem.mem\[6\]\[0\],10.14
u_mem._0146_,10.1
u_sync_wr2rd.gray_sync1\[3\],10.1
u_write._39_,10.1
u_mem._0392_,10.06
u_mem._0295_,10.04
u_mem.mem\[11\]\[6\],10.04
u_mem._0199_,9.98
u_mem.mem\[14\]\[1\],9.94
u_mem.mem\[2\]\[3\],9.94
net12,9.9
net19,9.9
u_mem._0231_,9.86
wr_en,9.86
u_mem._0271_,9.82
u_mem._0425_,9.82
u_mem.mem\[9\]\[1\],9.82
u_read._38_,9.8
u_mem._0050_,9.765
u_mem.mem\[6\]\[3\],9.7
u_mem.mem\[1\]\[5\],9.68
u_mem.mem\[5\]\[2\],9.64
u_mem._0047_,9.605
u_mem._0277_,9.54
u_mem._0316_,9.54
u_mem._0159_,9.42
u_mem._0440_,9.42
u_mem.mem\[8\]\[6\],9.42
u_mem._0379_,9.4
u_mem._0172_,9.36
u_mem._0302_,9.36
u_mem._0458_,9.36
u_mem.mem\[10\]\[3\],9.36
u_read.wr_gray_sync2\[0\],9.36
u_mem._0470_,9.34
u_mem._0072_,9.3
u_mem._0200_,9.28
u_mem._0322_,9.28
u_mem._0391_,9.28
u_mem.mem\[5\]\[4\],9.26
u_mem.mem\[10\]\[5\],9.22
u_mem._0244_,9.18
u_sync_rd2wr._12_,9.16
u_mem.mem\[9\]\[2\],9.14
u_mem.mem\[11\]\[0\],9.08
u_mem._0288_,9.06
u_mem._0400_,9.06
u_sync_rd2wr.gray_sync1\[3\],9.04
u_mem._0348_,9.02
u_mem._0484_,8.98
u_mem._0358_,8.94
u_mem._0202_,8.9
u_mem._0228_,8.9
u_mem._0426_,8.9
u_mem._0454_,8.9
u_mem._0456_,8.9
u_mem.dout\[3\],8.9
u_write._35_,8.9
u_mem._0255_,8.885
u_mem._0311_,8.86
u_mem._0431_,8.86
u_mem.mem\[12\]\[1\],8.86
u_mem.mem\[3\]\[3\],8.84
u_sync_rd2wr.gray_sync1\[4\],8.82
u_mem._0161_,8.8
u_mem._0046_,8.775
u_mem.mem\[4\]\[1\],8.76
u_mem._0341_,8.66
u_mem.mem\[4\]\[0\],8.66
u_mem.mem\[11\]\[2\],8.64
u_mem._0125_,8.625
u_sync_rd2wr._14_,8.6
u_mem._0102_,8.585
u_mem._0232_,8.56
u_mem.mem\[13\]\[2\],8.56
u_mem._0460_,8.52
u_sync_rd2wr._08_,8.52
u_mem._0365_,8.34
u_mem.mem\[2\]\[0\],8.34
u_mem.mem\[7\]\[0\],8.34
u_mem._0045_,8.26
u_mem._0250_,8.26
u_mem._0004_,8.22
u_write._02_,8.22
u_mem._0007_,8.175
u_mem._0040_,8.165
u_mem._0203_,8.14
u_mem.mem\[4\]\[6\],8.14
u_mem._0215_,8.1
u_mem._0320_,8.1
u_mem._0449_,8.1
u_read._29_,8.1
u_mem._0319_,8.08
u_mem._0467_,8.06
u_mem._0148_,8.02
u_mem._0183_,8.02
u_mem._0388_,8.005
u_mem._0181_,8
u_mem.mem\[10\]\[2\],8
u_mem._0222_,7.98
u_read._41_,7.98
u_mem._0201_,7.96
u_mem.mem\[13\]\[5\],7.9
u_mem._0344_,7.86
u_mem._0335_,7.82
u_mem.mem\[2\]\[5\],7.8
u_mem.mem\[4\]\[7\],7.78
u_write._32_,7.67
u_write._34_,7.66
u_mem.mem\[12\]\[7\],7.64
u_mem.mem\[1\]\[3\],7.64
u_mem.mem\[3\]\[4\],7.64
u_mem._0443_,7.6
u_mem._0165_,7.56
u_mem._0210_,7.56
u_mem.mem\[14\]\[3\],7.535
u_mem.mem\[4\]\[4\],7.52
u_sync_wr2rd._19_,7.52
u_mem._0300_,7.505
u_mem._0170_,7.5
u_mem._0445_,7.48
u_mem._0267_,7.44
u_mem._0463_,7.44
u_mem.mem\[2\]\[4\],7.44
u_mem.mem\[12\]\[5\],7.4
u_mem.mem\[13\]\[1\],7.3
u_mem._0407_,7.24
u_mem._0162_,7.22
u_mem._0349_,7.2
u_mem._0187_,7.18
u_mem._0057_,7.165
dout[3],7.11
u_mem._0175_,7.1
u_mem._0242_,7.1
u_mem.mem\[9\]\[0\],7.1
u_mem.mem\[11\]\[1\],7.06
u_sync_rd2wr._13_,7.06
u_mem._0105_,6.96
u_mem.mem\[7\]\[7\],6.96
u_mem._0340_,6.94
u_read._32_,6.94
u_sync_wr2rd.gray_sync1\[2\],6.94
u_mem._0099_,6.935
u_read._27_,6.92
u_mem._0001_,6.825
u_mem.dout\[7\],6.82
din[5],6.77
u_mem.mem\[4\]\[3\],6.76
u_read._11_,6.76
u_sync_rd2wr.gray_sync2\[3\],6.76
u_mem._0304_,6.745
u_read._36_,6.73
u_mem._0204_,6.72
u_mem._0212_,6.72
u_mem._0116_,6.705
u_mem._0017_,6.685
u_mem._0073_,6.685
u_mem._0188_,6.66
u_mem._0279_,6.625
u_sync_wr2rd._04_,6.62
u_mem._0191_,6.6
u_mem._0480_,6.6
u_mem._0481_,6.6
u_mem.mem\[12\]\[6\],6.6
u_mem.mem\[8\]\[5\],6.6
u_sync_rd2wr._06_,6.54
u_read._10_,6.52
u_read._13_,6.48
u_mem._0362_,6.44
u_mem._0058_,6.425
u_mem.mem\[6\]\[2\],6.42
u_mem._0038_,6.365
u_mem._0039_,6.355
u_mem._0085_,6.325
u_read._25_,6.32
u_mem._0158_,6.3
u_mem._0092_,6.285
u_mem._0367_,6.285
u_mem._0082_,6.265
u_mem._0163_,6.26
u_mem._0190_,6.26
u_mem._0433_,6.26
u_mem._0434_,6.26
u_mem._0469_,6.26
u_mem._0079_,6.225
u_mem._0131_,6.225
u_mem._0323_,6.18
u_mem._0478_,6.18
u_mem.mem\[12\]\[3\],6.18
u_mem._0014_,6.16
u_mem._0451_,6.14
u_mem.mem\[7\]\[6\],6.14
u_read._15_,6.14
u_mem._0384_,6.13
dout[2],6.09
u_mem._0112_,6.065
u_mem._0412_,6.02
u_mem._0066_,6.015
u_mem._0382_,5.98
u_sync_wr2rd.gray_in\[4\],5.98
u_mem._0020_,5.965
u_mem._0043_,5.96
u_mem.mem\[0\]\[5\],5.96
u_mem.mem\[14\]\[2\],5.96
u_mem.mem\[15\]\[6\],5.96
u_mem.mem\[1\]\[0\],5.96
